,Survived,Age_treated,SibSp,Parch,Fare_treated,Sex,Pclass_2,Pclass_3,Embarked_Q,Embarked_S
0,0,22,1,0,7.25,0,False,True,False,True
1,1,38,1,0,71.2833,1,False,False,False,False
2,1,26,0,0,7.925,1,False,True,False,True
3,1,35,1,0,53.1,1,False,False,False,True
4,0,35,0,0,8.05,0,False,True,False,True
5,0,25,0,0,8.4583,0,False,True,True,False
6,0,54,0,0,51.8625,0,False,False,False,True
7,0,2,3,1,21.075,0,False,True,False,True
8,1,27,0,2,11.1333,1,False,True,False,True
9,1,14,1,0,30.0708,1,True,False,False,False
10,1,4,1,1,16.7,1,False,True,False,True
11,1,58,0,0,26.55,1,False,False,False,True
12,0,20,0,0,8.05,0,False,True,False,True
13,0,39,1,5,31.275,0,False,True,False,True
14,0,14,0,0,7.8542,1,False,True,False,True
15,1,55,0,0,16.0,1,True,False,False,True
16,0,2,4,1,29.125,0,False,True,True,False
17,1,30,0,0,13.0,0,True,False,False,True
18,0,31,1,0,18.0,1,False,True,False,True
19,1,25,0,0,7.225,1,False,True,False,False
20,0,35,0,0,26.0,0,True,False,False,True
21,1,34,0,0,13.0,0,True,False,False,True
22,1,15,0,0,8.0292,1,False,True,True,False
23,1,28,0,0,35.5,0,False,False,False,True
24,0,8,3,1,21.075,1,False,True,False,True
25,1,38,1,5,31.3875,1,False,True,False,True
26,0,25,0,0,7.225,0,False,True,False,False
27,0,19,3,2,263.0,0,False,False,False,True
28,1,25,0,0,7.8792,1,False,True,True,False
29,0,25,0,0,7.8958,0,False,True,False,True
30,0,40,0,0,27.7208,0,False,False,False,False
31,1,39,1,0,146.5208,1,False,False,False,False
32,1,25,0,0,7.75,1,False,True,True,False
33,0,66,0,0,10.5,0,True,False,False,True
34,0,28,1,0,82.1708,0,False,False,False,False
35,0,42,1,0,52.0,0,False,False,False,True
36,1,25,0,0,7.2292,0,False,True,False,False
37,0,21,0,0,8.05,0,False,True,False,True
38,0,18,2,0,18.0,1,False,True,False,True
39,1,14,1,0,11.2417,1,False,True,False,False
40,0,40,1,0,9.475,1,False,True,False,True
41,0,27,1,0,21.0,1,True,False,False,True
42,0,25,0,0,7.8958,0,False,True,False,False
43,1,3,1,2,41.5792,1,True,False,False,False
44,1,19,0,0,7.8792,1,False,True,True,False
45,0,25,0,0,8.05,0,False,True,False,True
46,0,25,1,0,15.5,0,False,True,True,False
47,1,25,0,0,7.75,1,False,True,True,False
48,0,25,2,0,21.6792,0,False,True,False,False
49,0,18,1,0,17.8,1,False,True,False,True
50,0,7,4,1,39.6875,0,False,True,False,True
51,0,21,0,0,7.8,0,False,True,False,True
52,1,49,1,0,76.7292,1,False,False,False,False
53,1,29,1,0,26.0,1,True,False,False,True
54,0,65,0,1,61.9792,0,False,False,False,False
55,1,39,0,0,35.5,0,False,False,False,True
56,1,21,0,0,10.5,1,True,False,False,True
57,0,28,0,0,7.2292,0,False,True,False,False
58,1,5,1,2,27.75,1,True,False,False,True
59,0,11,5,2,46.9,0,False,True,False,True
60,0,22,0,0,7.2292,0,False,True,False,False
61,1,38,0,0,80.0,1,False,False,False,True
62,0,45,1,0,83.475,0,False,False,False,True
63,0,4,3,2,27.9,0,False,True,False,True
64,0,39,0,0,27.7208,0,False,False,False,False
65,1,25,1,1,15.2458,0,False,True,False,False
66,1,29,0,0,10.5,1,True,False,False,True
67,0,19,0,0,8.1583,0,False,True,False,True
68,1,17,4,2,7.925,1,False,True,False,True
69,0,26,2,0,8.6625,0,False,True,False,True
70,0,32,0,0,10.5,0,True,False,False,True
71,0,16,5,2,46.9,1,False,True,False,True
72,0,21,0,0,73.5,0,True,False,False,True
73,0,26,1,0,14.4542,0,False,True,False,False
74,1,32,0,0,56.4958,0,False,True,False,True
75,0,25,0,0,7.65,0,False,True,False,True
76,0,25,0,0,7.8958,0,False,True,False,True
77,0,25,0,0,8.05,0,False,True,False,True
78,1,0,0,2,29.0,0,True,False,False,True
79,1,30,0,0,12.475,1,False,True,False,True
80,0,22,0,0,9.0,0,False,True,False,True
81,1,29,0,0,9.5,0,False,True,False,True
82,1,25,0,0,7.7875,1,False,True,True,False
83,0,28,0,0,47.1,0,False,False,False,True
84,1,17,0,0,10.5,1,True,False,False,True
85,1,33,3,0,15.85,1,False,True,False,True
86,0,16,1,3,34.375,0,False,True,False,True
87,0,25,0,0,8.05,0,False,True,False,True
88,1,23,3,2,263.0,1,False,False,False,True
89,0,24,0,0,8.05,0,False,True,False,True
90,0,29,0,0,8.05,0,False,True,False,True
91,0,20,0,0,7.8542,0,False,True,False,True
92,0,46,1,0,61.175,0,False,False,False,True
93,0,26,1,2,20.575,0,False,True,False,True
94,0,59,0,0,7.25,0,False,True,False,True
95,0,25,0,0,8.05,0,False,True,False,True
96,0,71,0,0,34.6542,0,False,False,False,False
97,1,23,0,1,63.3583,0,False,False,False,False
98,1,34,0,1,23.0,1,True,False,False,True
99,0,34,1,0,26.0,0,True,False,False,True
100,0,28,0,0,7.8958,1,False,True,False,True
101,0,25,0,0,7.8958,0,False,True,False,True
102,0,21,0,1,77.2875,0,False,False,False,True
103,0,33,0,0,8.6542,0,False,True,False,True
104,0,37,2,0,7.925,0,False,True,False,True
105,0,28,0,0,7.8958,0,False,True,False,True
106,1,21,0,0,7.65,1,False,True,False,True
107,1,25,0,0,7.775,0,False,True,False,True
108,0,38,0,0,7.8958,0,False,True,False,True
109,1,25,1,0,24.15,1,False,True,True,False
110,0,47,0,0,52.0,0,False,False,False,True
111,0,14,1,0,14.4542,1,False,True,False,False
112,0,22,0,0,8.05,0,False,True,False,True
113,0,20,1,0,9.825,1,False,True,False,True
114,0,17,0,0,14.4583,1,False,True,False,False
115,0,21,0,0,7.925,0,False,True,False,True
116,0,70,0,0,7.75,0,False,True,True,False
117,0,29,1,0,21.0,0,True,False,False,True
118,0,24,0,1,247.5208,0,False,False,False,False
119,0,2,4,2,31.275,1,False,True,False,True
120,0,21,2,0,73.5,0,True,False,False,True
121,0,25,0,0,8.05,0,False,True,False,True
122,0,32,1,0,30.0708,0,True,False,False,False
123,1,32,0,0,13.0,1,True,False,False,True
124,0,54,0,1,77.2875,0,False,False,False,True
125,1,12,1,0,11.2417,0,False,True,False,False
126,0,25,0,0,7.75,0,False,True,True,False
127,1,24,0,0,7.1417,0,False,True,False,True
128,1,25,1,1,22.3583,1,False,True,False,False
129,0,45,0,0,6.975,0,False,True,False,True
130,0,33,0,0,7.8958,0,False,True,False,False
131,0,20,0,0,7.05,0,False,True,False,True
132,0,47,1,0,14.5,1,False,True,False,True
133,1,29,1,0,26.0,1,True,False,False,True
134,0,25,0,0,13.0,0,True,False,False,True
135,0,23,0,0,15.0458,0,True,False,False,False
136,1,19,0,2,26.2833,1,False,False,False,True
137,0,37,1,0,53.1,0,False,False,False,True
138,0,16,0,0,9.2167,0,False,True,False,True
139,0,24,0,0,79.2,0,False,False,False,False
140,0,25,0,2,15.2458,1,False,True,False,False
141,1,22,0,0,7.75,1,False,True,False,True
142,1,24,1,0,15.85,1,False,True,False,True
143,0,19,0,0,6.75,0,False,True,True,False
144,0,18,0,0,11.5,0,True,False,False,True
145,0,19,1,1,36.75,0,True,False,False,True
146,1,27,0,0,7.7958,0,False,True,False,True
147,0,9,2,2,34.375,1,False,True,False,True
148,0,36,0,2,26.0,0,True,False,False,True
149,0,42,0,0,13.0,0,True,False,False,True
150,0,51,0,0,12.525,0,True,False,False,True
151,1,22,1,0,66.6,1,False,False,False,True
152,0,55,0,0,8.05,0,False,True,False,True
153,0,40,0,2,14.5,0,False,True,False,True
154,0,25,0,0,7.3125,0,False,True,False,True
155,0,51,0,1,61.3792,0,False,False,False,False
156,1,16,0,0,7.7333,1,False,True,True,False
157,0,30,0,0,8.05,0,False,True,False,True
158,0,25,0,0,8.6625,0,False,True,False,True
159,0,25,8,2,69.55,0,False,True,False,True
160,0,44,0,1,16.1,0,False,True,False,True
161,1,40,0,0,15.75,1,True,False,False,True
162,0,26,0,0,7.775,0,False,True,False,True
163,0,17,0,0,8.6625,0,False,True,False,True
164,0,1,4,1,39.6875,0,False,True,False,True
165,1,9,0,2,20.525,0,False,True,False,True
166,1,39,0,1,55.0,1,False,False,False,True
167,0,45,1,4,27.9,1,False,True,False,True
168,0,39,0,0,25.925,0,False,False,False,True
169,0,28,0,0,56.4958,0,False,True,False,True
170,0,61,0,0,33.5,0,False,False,False,True
171,0,4,4,1,29.125,0,False,True,True,False
172,1,1,1,1,11.1333,1,False,True,False,True
173,0,21,0,0,7.925,0,False,True,False,True
174,0,56,0,0,30.6958,0,False,False,False,False
175,0,18,1,1,7.8542,0,False,True,False,True
176,0,25,3,1,25.4667,0,False,True,False,True
177,0,50,0,0,28.7125,1,False,False,False,False
178,0,30,0,0,13.0,0,True,False,False,True
179,0,36,0,0,0.0,0,False,True,False,True
180,0,25,8,2,69.55,1,False,True,False,True
181,0,30,0,0,15.05,0,True,False,False,False
182,0,9,4,2,31.3875,0,False,True,False,True
183,1,1,2,1,39.0,0,True,False,False,True
184,1,4,0,2,22.025,1,False,True,False,True
185,0,39,0,0,50.0,0,False,False,False,True
186,1,25,1,0,15.5,1,False,True,True,False
187,1,45,0,0,26.55,0,False,False,False,True
188,0,40,1,1,15.5,0,False,True,True,False
189,0,36,0,0,7.8958,0,False,True,False,True
190,1,32,0,0,13.0,1,True,False,False,True
191,0,19,0,0,13.0,0,True,False,False,True
192,1,19,1,0,7.8542,1,False,True,False,True
193,1,3,1,1,26.0,0,True,False,False,True
194,1,44,0,0,27.7208,1,False,False,False,False
195,1,58,0,0,146.5208,1,False,False,False,False
196,0,25,0,0,7.75,0,False,True,True,False
197,0,42,0,1,8.4042,0,False,True,False,True
198,1,25,0,0,7.75,1,False,True,True,False
199,0,24,0,0,13.0,1,True,False,False,True
200,0,28,0,0,9.5,0,False,True,False,True
201,0,25,8,2,69.55,0,False,True,False,True
202,0,34,0,0,6.4958,0,False,True,False,True
203,0,45,0,0,7.225,0,False,True,False,False
204,1,18,0,0,8.05,0,False,True,False,True
205,0,2,0,1,10.4625,1,False,True,False,True
206,0,32,1,0,15.85,0,False,True,False,True
207,1,26,0,0,18.7875,0,False,True,False,False
208,1,16,0,0,7.75,1,False,True,True,False
209,1,40,0,0,31.0,0,False,False,False,False
210,0,24,0,0,7.05,0,False,True,False,True
211,1,35,0,0,21.0,1,True,False,False,True
212,0,22,0,0,7.25,0,False,True,False,True
213,0,30,0,0,13.0,0,True,False,False,True
214,0,25,1,0,7.75,0,False,True,True,False
215,1,31,1,0,113.275,1,False,False,False,False
216,1,27,0,0,7.925,1,False,True,False,True
217,0,42,1,0,27.0,0,True,False,False,True
218,1,32,0,0,76.2917,1,False,False,False,False
219,0,30,0,0,10.5,0,True,False,False,True
220,1,16,0,0,8.05,0,False,True,False,True
221,0,27,0,0,13.0,0,True,False,False,True
222,0,51,0,0,8.05,0,False,True,False,True
223,0,25,0,0,7.8958,0,False,True,False,True
224,1,38,1,0,90.0,0,False,False,False,True
225,0,22,0,0,9.35,0,False,True,False,True
226,1,19,0,0,10.5,0,True,False,False,True
227,0,20,0,0,7.25,0,False,True,False,True
228,0,18,0,0,13.0,0,True,False,False,True
229,0,25,3,1,25.4667,1,False,True,False,True
230,1,35,1,0,83.475,1,False,False,False,True
231,0,29,0,0,7.775,0,False,True,False,True
232,0,59,0,0,13.5,0,True,False,False,True
233,1,5,4,2,31.3875,1,False,True,False,True
234,0,24,0,0,10.5,0,True,False,False,True
235,0,25,0,0,7.55,1,False,True,False,True
236,0,44,1,0,26.0,0,True,False,False,True
237,1,8,0,2,26.25,1,True,False,False,True
238,0,19,0,0,10.5,0,True,False,False,True
239,0,33,0,0,12.275,0,True,False,False,True
240,0,25,1,0,14.4542,1,False,True,False,False
241,1,25,1,0,15.5,1,False,True,True,False
242,0,29,0,0,10.5,0,True,False,False,True
243,0,22,0,0,7.125,0,False,True,False,True
244,0,30,0,0,7.225,0,False,True,False,False
245,0,44,2,0,90.0,0,False,False,True,False
246,0,25,0,0,7.775,1,False,True,False,True
247,1,24,0,2,14.5,1,True,False,False,True
248,1,37,1,1,52.5542,0,False,False,False,True
249,0,54,1,0,26.0,0,True,False,False,True
250,0,25,0,0,7.25,0,False,True,False,True
251,0,29,1,1,10.4625,1,False,True,False,True
252,0,62,0,0,26.55,0,False,False,False,True
253,0,30,1,0,16.1,0,False,True,False,True
254,0,41,0,2,20.2125,1,False,True,False,True
255,1,29,0,2,15.2458,1,False,True,False,False
256,1,39,0,0,79.2,1,False,False,False,False
257,1,30,0,0,86.5,1,False,False,False,True
258,1,35,0,0,512.3292,1,False,False,False,False
259,1,50,0,1,26.0,1,True,False,False,True
260,0,25,0,0,7.75,0,False,True,True,False
261,1,3,4,2,31.3875,0,False,True,False,True
262,0,52,1,1,79.65,0,False,False,False,True
263,0,40,0,0,0.0,0,False,False,False,True
264,0,25,0,0,7.75,1,False,True,True,False
265,0,36,0,0,10.5,0,True,False,False,True
266,0,16,4,1,39.6875,0,False,True,False,True
267,1,25,1,0,7.775,0,False,True,False,True
268,1,58,0,1,153.4625,1,False,False,False,True
269,1,35,0,0,135.6333,1,False,False,False,True
270,0,39,0,0,31.0,0,False,False,False,True
271,1,25,0,0,0.0,0,False,True,False,True
272,1,41,0,1,19.5,1,True,False,False,True
273,0,37,0,1,29.7,0,False,False,False,False
274,1,25,0,0,7.75,1,False,True,True,False
275,1,63,1,0,77.9583,1,False,False,False,True
276,0,45,0,0,7.75,1,False,True,False,True
277,0,30,0,0,0.0,0,True,False,False,True
278,0,7,4,1,29.125,0,False,True,True,False
279,1,35,1,1,20.25,1,False,True,False,True
280,0,65,0,0,7.75,0,False,True,True,False
281,0,28,0,0,7.8542,0,False,True,False,True
282,0,16,0,0,9.5,0,False,True,False,True
283,1,19,0,0,8.05,0,False,True,False,True
284,0,39,0,0,26.0,0,False,False,False,True
285,0,33,0,0,8.6625,0,False,True,False,False
286,1,30,0,0,9.5,0,False,True,False,True
287,0,22,0,0,7.8958,0,False,True,False,True
288,1,42,0,0,13.0,0,True,False,False,True
289,1,22,0,0,7.75,1,False,True,True,False
290,1,26,0,0,78.85,1,False,False,False,True
291,1,19,1,0,91.0792,1,False,False,False,False
292,0,36,0,0,12.875,0,True,False,False,False
293,0,24,0,0,8.85,1,False,True,False,True
294,0,24,0,0,7.8958,0,False,True,False,True
295,0,39,0,0,27.7208,0,False,False,False,False
296,0,23,0,0,7.2292,0,False,True,False,False
297,0,2,1,2,151.55,1,False,False,False,True
298,1,39,0,0,30.5,0,False,False,False,True
299,1,50,0,1,247.5208,1,False,False,False,False
300,1,25,0,0,7.75,1,False,True,True,False
301,1,25,2,0,23.25,0,False,True,True,False
302,0,19,0,0,0.0,0,False,True,False,True
303,1,30,0,0,12.35,1,True,False,True,False
304,0,25,0,0,8.05,0,False,True,False,True
305,1,0,1,2,151.55,0,False,False,False,True
306,1,39,0,0,110.8833,1,False,False,False,False
307,1,17,1,0,108.9,1,False,False,False,False
308,0,30,1,0,24.0,0,True,False,False,False
309,1,30,0,0,56.9292,1,False,False,False,False
310,1,24,0,0,83.1583,1,False,False,False,False
311,1,18,2,2,262.375,1,False,False,False,False
312,0,26,1,1,26.0,1,True,False,False,True
313,0,28,0,0,7.8958,0,False,True,False,True
314,0,43,1,1,26.25,0,True,False,False,True
315,1,26,0,0,7.8542,1,False,True,False,True
316,1,24,1,0,26.0,1,True,False,False,True
317,0,54,0,0,14.0,0,True,False,False,True
318,1,31,0,2,164.8667,1,False,False,False,True
319,1,40,1,1,134.5,1,False,False,False,False
320,0,22,0,0,7.25,0,False,True,False,True
321,0,27,0,0,7.8958,0,False,True,False,True
322,1,30,0,0,12.35,1,True,False,True,False
323,1,22,1,1,29.0,1,True,False,False,True
324,0,25,8,2,69.55,0,False,True,False,True
325,1,36,0,0,135.6333,1,False,False,False,False
326,0,61,0,0,6.2375,0,False,True,False,True
327,1,36,0,0,13.0,1,True,False,False,True
328,1,31,1,1,20.525,1,False,True,False,True
329,1,16,0,1,57.9792,1,False,False,False,False
330,1,25,2,0,23.25,1,False,True,True,False
331,0,45,0,0,28.5,0,False,False,False,True
332,0,38,0,1,153.4625,0,False,False,False,True
333,0,16,2,0,18.0,0,False,True,False,True
334,1,39,1,0,133.65,1,False,False,False,True
335,0,25,0,0,7.8958,0,False,True,False,True
336,0,29,1,0,66.6,0,False,False,False,True
337,1,41,0,0,134.5,1,False,False,False,False
338,1,45,0,0,8.05,0,False,True,False,True
339,0,45,0,0,35.5,0,False,False,False,True
340,1,2,1,1,26.0,0,True,False,False,True
341,1,24,3,2,263.0,1,False,False,False,True
342,0,28,0,0,13.0,0,True,False,False,True
343,0,25,0,0,13.0,0,True,False,False,True
344,0,36,0,0,13.0,0,True,False,False,True
345,1,24,0,0,13.0,1,True,False,False,True
346,1,40,0,0,13.0,1,True,False,False,True
347,1,25,1,0,16.1,1,False,True,False,True
348,1,3,1,1,15.9,0,False,True,False,True
349,0,42,0,0,8.6625,0,False,True,False,True
350,0,23,0,0,9.225,0,False,True,False,True
351,0,39,0,0,35.0,0,False,False,False,True
352,0,15,1,1,7.2292,0,False,True,False,False
353,0,25,1,0,17.8,0,False,True,False,True
354,0,25,0,0,7.225,0,False,True,False,False
355,0,28,0,0,9.5,0,False,True,False,True
356,1,22,0,1,55.0,1,False,False,False,True
357,0,38,0,0,13.0,1,True,False,False,True
358,1,25,0,0,7.8792,1,False,True,True,False
359,1,25,0,0,7.8792,1,False,True,True,False
360,0,40,1,4,27.9,0,False,True,False,True
361,0,29,1,0,27.7208,0,True,False,False,False
362,0,45,0,1,14.4542,1,False,True,False,False
363,0,35,0,0,7.05,0,False,True,False,True
364,0,25,1,0,15.5,0,False,True,True,False
365,0,30,0,0,7.25,0,False,True,False,True
366,1,60,1,0,75.25,1,False,False,False,False
367,1,25,0,0,7.2292,1,False,True,False,False
368,1,25,0,0,7.75,1,False,True,True,False
369,1,24,0,0,69.3,1,False,False,False,False
370,1,25,1,0,55.4417,0,False,False,False,False
371,0,18,1,0,6.4958,0,False,True,False,True
372,0,19,0,0,8.05,0,False,True,False,True
373,0,22,0,0,135.6333,0,False,False,False,False
374,0,3,3,1,21.075,1,False,True,False,True
375,1,39,1,0,82.1708,1,False,False,False,False
376,1,22,0,0,7.25,1,False,True,False,True
377,0,27,0,2,211.5,0,False,False,False,False
378,0,20,0,0,4.0125,0,False,True,False,False
379,0,19,0,0,7.775,0,False,True,False,True
380,1,42,0,0,227.525,1,False,False,False,False
381,1,1,0,2,15.7417,1,False,True,False,False
382,0,32,0,0,7.925,0,False,True,False,True
383,1,35,1,0,52.0,1,False,False,False,True
384,0,25,0,0,7.8958,0,False,True,False,True
385,0,18,0,0,73.5,0,True,False,False,True
386,0,1,5,2,46.9,0,False,True,False,True
387,1,36,0,0,13.0,1,True,False,False,True
388,0,25,0,0,7.7292,0,False,True,True,False
389,1,17,0,0,12.0,1,True,False,False,False
390,1,36,1,2,120.0,0,False,False,False,True
391,1,21,0,0,7.7958,0,False,True,False,True
392,0,28,2,0,7.925,0,False,True,False,True
393,1,23,1,0,113.275,1,False,False,False,False
394,1,24,0,2,16.7,1,False,True,False,True
395,0,22,0,0,7.7958,0,False,True,False,True
396,0,31,0,0,7.8542,1,False,True,False,True
397,0,46,0,0,26.0,0,True,False,False,True
398,0,23,0,0,10.5,0,True,False,False,True
399,1,28,0,0,12.65,1,True,False,False,True
400,1,39,0,0,7.925,0,False,True,False,True
401,0,26,0,0,8.05,0,False,True,False,True
402,0,21,1,0,9.825,1,False,True,False,True
403,0,28,1,0,15.85,0,False,True,False,True
404,0,20,0,0,8.6625,1,False,True,False,True
405,0,34,1,0,21.0,0,True,False,False,True
406,0,51,0,0,7.75,0,False,True,False,True
407,1,3,1,1,18.75,0,True,False,False,True
408,0,21,0,0,7.775,0,False,True,False,True
409,0,25,3,1,25.4667,1,False,True,False,True
410,0,25,0,0,7.8958,0,False,True,False,True
411,0,25,0,0,6.8583,0,False,True,True,False
412,1,33,1,0,90.0,1,False,False,True,False
413,0,30,0,0,0.0,0,True,False,False,True
414,1,44,0,0,7.925,0,False,True,False,True
415,0,25,0,0,8.05,1,False,True,False,True
416,1,34,1,1,32.5,1,True,False,False,True
417,1,18,0,2,13.0,1,True,False,False,True
418,0,30,0,0,13.0,0,True,False,False,True
419,0,10,0,2,24.15,1,False,True,False,True
420,0,25,0,0,7.8958,0,False,True,False,False
421,0,21,0,0,7.7333,0,False,True,True,False
422,0,29,0,0,7.875,0,False,True,False,True
423,0,28,1,1,14.4,1,False,True,False,True
424,0,18,1,1,20.2125,0,False,True,False,True
425,0,25,0,0,7.25,0,False,True,False,True
426,1,28,1,0,26.0,1,True,False,False,True
427,1,19,0,0,26.0,1,True,False,False,True
428,0,25,0,0,7.75,0,False,True,True,False
429,1,32,0,0,8.05,0,False,True,False,True
430,1,28,0,0,26.55,0,False,False,False,True
431,1,25,1,0,16.1,1,False,True,False,True
432,1,42,1,0,26.0,1,True,False,False,True
433,0,17,0,0,7.125,0,False,True,False,True
434,0,50,1,0,55.9,0,False,False,False,True
435,1,14,1,2,120.0,1,False,False,False,True
436,0,21,2,2,34.375,1,False,True,False,True
437,1,24,2,3,18.75,1,True,False,False,True
438,0,64,1,4,263.0,0,False,False,False,True
439,0,31,0,0,10.5,0,True,False,False,True
440,1,45,1,1,26.25,1,True,False,False,True
441,0,20,0,0,9.5,0,False,True,False,True
442,0,25,1,0,7.775,0,False,True,False,True
443,1,28,0,0,13.0,1,True,False,False,True
444,1,25,0,0,8.1125,0,False,True,False,True
445,1,4,0,2,81.8583,0,False,False,False,True
